MŠ celodenná starostlivosť,Košický,Rožňava,"Evanjel. materská škola - Rožňava, Zeleného stromu",Zeleného stromu 14,4.2
ZŠ pri zdravotníckom zariadení,Košický,Hraň,ZŠ pri zdrav.zariadení - Hraň,Hraň 447,10
Základná škola,Košický,Košice-Sídlisko KVP,"ZŠ - Košice, Starozagorská",Starozagorská 8,15.7
Špeciálna základná škola,Košický,Košice-Západ,"Špec. ZŠ - Košice, Inžinierska",Inžinierska 24,15.2
Gymnázium,Košický,Trebišov,"Cirk. Gymnázium - Trebišov, M.R.Štefánika",M. R. Štefánika 9,10.9
Základná škola,Košický,Bidovce,ZŠ - Bidovce,Bidovce 209,32.2
MŠ celodenná starostlivosť,Košický,Michalovce,"Cirk. materská škola - Michalovce, Farská",Farská 1,5.8
Základná škola,Košický,Seňa,ZŠ - Seňa,Seňa 507,28.1
Gymnázium,Košický,Košice-Sever,"Gymnázium - Košice, Park mládeže",Park mládeže 5,46.9
Základná škola,Košický,Vojany,"Cirk. ZŠ - Vojany, Elektrárenská",Elektrárenská 50,12.5
Základná škola,Košický,Košice-Sídlisko Ťahanovce,"ZŠ - Košice, Bruselská",Bruselská 18,42.3
Základná škola,Košický,Košice-Staré Mesto,"ZŠ - Košice, Park Angelinum",Park Angelinum 8,42.3
Základná škola,Košický,Košice-Sever,"ZŠ - Košice, Polianska",Polianska 1,25.7
MŠ celodenná starostlivosť,Košický,Košice-Staré Mesto,"Materská škola - Košice, Park Angelinum",Park Angelinum 7,8.4
MŠ celodenná starostlivosť,Košický,Košice-Staré Mesto,"Materská škola - Košice, Hrnčiarska",Hrnčiarska 1,8.9
MŠ celodenná starostlivosť,Košický,Košice-Sídlisko Ťahanovce,"Materská škola - Košice, Belehradská",Belehradská 6,12.9
MŠ celodenná starostlivosť,Košický,Košice-Staré Mesto,"Materská škola - Košice, Tatranská",Tatranská 23,14.8
Základná škola,Košický,Košice-Sídlisko Ťahanovce,"ZŠ - Košice, Belehradská",Belehradská 21,41
Základná škola,Košický,Košice-Staré Mesto,"ZŠ - Košice, Masarykova 19/A",Masarykova 19/A,18.9
Základná škola,Košický,Košice-Sever,"ZŠ - Košice, Hroncova",Hroncova 23,14.2
Základná škola,Košický,Košice-Sever,"ZŠ - Košice, Tomášikova",Tomášikova 31,38.3
Základná škola,Košický,Košice-Staré Mesto,"ZŠ - Košice, Nám.L.Novomeského",Nám. L. Novomeského 2,46.3
Špeciálna základná škola,Košický,Hrabušice,"Špec. ZŠ - Hrabušice, Hviezdoslavova",Hviezdoslavova 164,8
Základná škola,Košický,Trebišov,"ZŠ - Trebišov, Pribinova",Pribinova 34,22.4
Základná škola,Košický,Trebišov,"ZŠ - Trebišov, Komenského",Komenského 1962/8,46.1
Základná škola,Košický,Trebišov,"Cirk. ZŠ sv.Juraja - Trebišov, Gorkého",Gorkého 55,28.6
Základná škola,Košický,Trebišov,"ZŠ - Trebišov, I.Krasku",I. Krasku 342/1,61.3
Základná škola,Košický,Trebišov,"ZŠ - Trebišov, M.R.Štefánika",M. R. Štefánika 910/51,43.5
Základná škola,Košický,Čierna nad Tisou,"ZŠ s VJM - Čierna nad Tisou, Zimná",Zimná 6,17.5
Základná škola,Košický,Čierna nad Tisou,"ZŠ - Čierna nad Tisou, Školská",Školská 3,20.7
Základná škola,Košický,Kráľovský Chlmec,"ZŠ s VJM - Kráľovský Chlmec, Hunyadiho",Hunyadiho 1256/16,30.8
Základná škola,Košický,Kráľovský Chlmec,"ZŠ - Kráľovský Chlmec, L.Kossutha",L. Kossutha 56,36.8
Základná škola,Košický,Streda nad Bodrogom,"ZŠ - Streda nad Bodrogom, Školská",Školská 2,12.9
Základná škola,Košický,Streda nad Bodrogom,"ZŠ - Streda nad Bodrogom, Školská",Školská 4,14.9
Základná škola,Košický,Vojčice,"ZŠ - Vojčice, Školská",Školská 379,18.7
Základná škola,Košický,Zemplínska Teplica,"ZŠ - Zemplínska Teplica, Hlavná",Hlavná 209,25.6
Základná škola,Košický,Sečovce,"ZŠ - Sečovce, Obchodná",Obchodná 5,38
Základná škola,Košický,Somotor,"ZŠ - Somotor, Hlavná",Hlavná 41,14.6
Základná škola,Košický,Novosad,"ZŠ s MŠ - Novosad, Letná",Letná 90,19.4
Základná škola,Košický,Parchovany,"ZŠ - Parchovany, Hlavná",Hlavná 462,20.4
Základná škola,Košický,Nižný Žipov,"ZŠ - Nižný Žipov, Školská",Školská 58,17.8
Základná škola,Košický,Michaľany,"ZŠ - Michaľany, Školská",Školská 339/2,24.1
Základná škola,Košický,Borša,"ZŠ s MŠ - Borša, Ružová",Ružová 304,15.6
Základná škola,Košický,Čerhov,"ZŠ s MŠ - Čerhov, Hlavná",Hlavná 1,14
Základná škola,Košický,Somotor,ZŠ s VJM - Somotor,Somotor 40,12.6
Základná škola,Košický,Veľké Trakany,"ZŠ s VJM - V.Trakany, Školská",Školská 278,16.9
Základná škola,Košický,Leles,"ZŠ - Leles, Oriešková",Oriešková 9,16.9
Základná škola,Košický,Biel,"ZŠ s VJM - Biel, Hlavná",Hlavná 24,19.3
Základná škola,Košický,Smižany,"ZŠ - Smižany, Komenského",Komenského 3,46.9
Špeciálna základná škola,Košický,Richnava,Špec. ZŠ - Richnava,Richnava 189,18.2
MŠ celodenná starostlivosť,Košický,Košice-Luník IX,"Materská škola - Košice, Hrebendova",Hrebendova 5,20.1
MŠ celodenná starostlivosť,Košický,Michalovce,"Materská škola - Michalovce, S.H.Vajanského",S. H. Vajanského 5,10.1
MŠ celodenná starostlivosť,Košický,Strážske,"Materská škola - Strážske, Družstevná",Družstevná 506,8
Základná škola,Košický,Budkovce,ZŠ - Budkovce,Budkovce 355,23.9
Základná škola,Košický,Nacina Ves,ZŠ - Nacina Ves,Nacina Ves 63,14.6
Základná škola,Košický,Palín,ZŠ s MŠ - Palín,Palín 104,22.7
Základná škola,Košický,Strážske,"ZŠ - Strážske, Mierová",Mierová 1,33.6
Základná škola,Košický,Trhovište,ZŠ s MŠ - Trhovište,Trhovište 50,17
Základná škola,Košický,Tušická Nová Ves,ZŠ s MŠ - Tušická N.V.,Tušická Nová Ves 64,12.9
Základná škola,Košický,Veľké Kapušany,"ZŠ POH - V.Kapušany, Síd.P.O.Hviezdoslava",Síd.P.O.Hviezdoslava 43,35.3
Základná škola,Košický,Veľké Kapušany,"ZŠ s VJM J.Erdélyiho - V.Kapušany, Z.Fábryho",Z. Fábryho 36,41.3
Základná škola,Košický,Košice-Sídlisko KVP,"ZŠ - Košice, J.Pavla II.",Jána Pavla II. 1,35.2
Základná škola,Košický,Košice-Západ,"ZŠ - Košice, Kežmarská",Kežmarská 30,31.7
Základná škola,Košický,Košice-Sídlisko KVP,"ZŠ - Košice, Janigova",Janigova 2,24.5
Základná škola,Košický,Košice-Sídlisko KVP,"ZŠ - Košice, Drábova",Drábova 3,17.4
MŠ celodenná starostlivosť,Košický,Košice-Západ,"Materská škola - Košice, Trebišovská",Trebišovská 11,12.8
MŠ celodenná starostlivosť,Košický,Košice-Šaca,"Materská škola - Košice, Mládežnícka",Mládežnícka 504/2,14.9
MŠ celodenná starostlivosť,Košický,Košice-Západ,"Materská škola - Košice, Nešporova",Nešporova 28,10.7
Základná škola,Košický,Košice-Západ,"ZŠ - Košice, Kežmarská",Kežmarská 28,44.1
Základná škola,Košický,Rožňava,"Katolícka ZŠ - Rožňava, Kósu-Schoppera",Kósu-Schoppera 22,11.3
Základná škola,Košický,Košice-Západ,"ZŠ - Košice, Považská",Považská 12,34.4
Základná škola,Košický,Košice-Luník IX,"ZŠ - Košice, Ľ.Podjavorinskej",Ľ. Podjavorinskej 1,63.5
Základná škola,Košický,Košice-Západ,"ZŠ - Košice,  slobody",Ulica slobody 1,16.5
Základná škola,Košický,Košice-Západ,"ZŠ - Košice, Bernolákova",Bernolákova 16,35.5
MŠ celodenná starostlivosť,Košický,Košice-Juh,"Materská škola - Košice, Palárikova",Palárikova 22,13.2
MŠ celodenná starostlivosť,Košický,Košice-Juh,"Materská škola - Košice, Turgenevova",Turgenevova 7,11
MŠ celodenná starostlivosť,Košický,Košice-Nad jazerom,"Materská škola - Košice, Dneperská",Dneperská 8,15
MŠ celodenná starostlivosť,Košický,Košice-Nad jazerom,"Materská škola - Košice, Galaktická",Galaktická 9,13.3
MŠ celodenná starostlivosť,Košický,Košice-Krásna,"Materská škola - Košice, Žiacka",Žiacka 18,6.2
Základná škola,Košický,Rudňany,"ZŠ - Rudňany, Zimné",Zimné 96,37.4
Základná škola,Košický,Štítnik,"ZŠ - Štítnik, Školská",Školská 295,27.4
Základná škola,Košický,Slavošovce,ZŠ - Slavošovce,Slavošovce 125,27.1
Základná škola,Košický,Rožňava,"ZŠ - Rožňava, Zlatá",Zlatá 2,35.5
